line,speaker,line_num,date
 I'd like to call this hearing to order.,BURR,1,2017-06-08
"Director Comey, I appreciate your willingness to appear before the committee today, and more importantly, I thank you for your dedicated service and leadership to the Federal Bureau of Investigation. Your appearance today speaks to the trust we have built over the years, and I'm looking forward to a very open and candid discussion today. I'd like to remind my colleagues that we will reconvene in closed session at 1 PM today and I ask that you reserve for that venue any questions that might get into classified information. The director has been very gracious with his time, but the vice chairman and I have worked out a very specific timeline for his commitment to be on the Hill, so we will do everything we can to meet that agreement.",BURR,2,2017-06-08
"The Senate Select Committee on Intelligence exists to certify for the other 85 members of the United States Senate and the American people that the intelligence community is operating lawfully and has the necessary authorities and tools to accomplish its mission and keep America safe. Part of our mission, beyond the oversight we continue to provide to the intelligence community and its activities, is to investigate Russian interference in the 2016 U.S. elections. The committee's work continues. This hearing represents part of that effort.",BURR,3,2017-06-08
"Jim, allegations have been swirling in the press for the last several weeks, and today's your opportunity to set the record straight. Yesterday, I read with interest your statement for the record. And I think it provides some helpful details surrounding your interactions with the president.",BURR,4,2017-06-08
Continue reading the main story,BURR,5,2017-06-08
"It clearly lays out your understanding of those discussions, actions you took following each conversation and your state of mind. I very much appreciate your candor, and I think it's helpful as we work through to determine the ultimate truth behind possible Russian interference in the 2016 elections.",BURR,6,2017-06-08
"Your statement also provides texture and context to your interactions with the president, from your vantage point, and outlines a strained relationship. The American people need to hear your side of the story just as they need to hear the president's descriptions of events.",BURR,7,2017-06-08
These interactions also highlight the importance of the committee's ongoing investigation. Our experienced staff is interviewing all relevant parties and some of the most sensitive intelligence in our country's possession.,BURR,8,2017-06-08
"We will establish the facts, separate from rampant speculation, and lay them out for the American people to make their own judgment. Only then will we as a nation be able to move forward and to put this episode to rest. There are several outstanding issues not addressed in your statement that I hope you'll clear up for the American people today. Did the president's request for loyalty — your impression that — that the one-on-one dinner of January 27th was, and I quote, “at least in part an effort to create some sort of patronage relationship,” or his March 30th phone call asking what you could do to lift the cloud of Russia investigation in any way, alter your approach of the FBI's investigation into General Flynn or the broader investigation into Russia and possible links to the campaign?",BURR,9,2017-06-08
"In your opinion, did potential Russian efforts to establish links with individuals in the Trump orbit rise to the level we could define as collusion? Or was it a counterintelligence concern?",BURR,10,2017-06-08
There's been a significant public speculation about your decision-making related to the Clinton e-mail investigation. Why did you decide publicly — to publicly announce FBI's recommendations that the Department of Justice not pursue criminal charges? You have described it as a choice between a bad decision and a worse decision. The American people need to understand the facts behind your action.,BURR,11,2017-06-08
"This committee is uniquely suited to investigate Russia's interference in the 2016 elections. We also have a unified, bipartisan approach to what is a highly charged partisan issue. Russian activities during 2016 election may have been aimed at one party's candidate, but as my colleague, Senator Rubio, says frequently, in 2018 and 2020, it could be aimed at anyone, at home or abroad.",BURR,12,2017-06-08
"My colleague, Senator Warner, and I have worked in — have worked to to stay in lockstep on this investigation. We've had our differences on approach at times. But I've constantly stressed that we need to be a team. And I think Senator Warner agrees with me.",BURR,13,2017-06-08
We must keep these questions above politics and partisanship. It's too important to be tainted by anyone trying to score political points.,BURR,14,2017-06-08
"With that, again, I welcome you, Director.",BURR,15,2017-06-08
And I turn to the vice chairman for any comments he might have.,BURR,16,2017-06-08
" Well, thank you, Mr. Chairman.",WARNER,17,2017-06-08
"And let me start by, again, absolutely (ph) thanking all the members of the committee for the seriousness in which they've taken on this task. Mr. Comey, thank you for agreeing to come testify as part of this committee's investigation into Russia. I realize that this hearing has been, obviously, the focus of a lot of Washington in the last few days. But the truth is many Americans who may be tuning in today probably haven't focused on every twist and turn of the investigation.",WARNER,18,2017-06-08
"So I'd like to briefly describe, at least from this senator's standpoint, what we already know and what we're still investigating. To be clear, this whole (ph) investigation is not about relitigating the election. It's not about who won or lost. And it sure as heck is not about Democrats versus Republicans.",WARNER,19,2017-06-08
"We're here because a foreign adversary attacked us right here at home, plain and simple, not by guns or missiles, but by foreign operatives seeking to hijack our most important democratic process — our presidential election.",WARNER,20,2017-06-08
"Russian spies engaged in a series of online cyber raids and a broad campaign of disinformation, all ultimately aimed at sowing chaos to us to undermine public faith in our process, in our leadership and ultimately in ourselves.",WARNER,21,2017-06-08
